DATE,Y10_FIT,RNY10,TP10
20210910,0.0507,0.1801,-0.1293
20210913,0.0507,0.1765,-0.1258
20210914,0.0506,0.1754,-0.1247
20210915,0.0407,0.1775,-0.1368
20210916,0.0519,0.178,-0.1261
20210917,0.0568,0.1722,-0.1154
20210921,0.0468,0.1718,-0.1249
20210922,0.0433,0.1745,-0.1313
20210924,0.0627,0.1634,-0.1008
20210927,0.0632,0.1726,-0.1094
20210928,0.0844,0.1662,-0.0818
20210929,0.0803,0.1649,-0.0846
20210930,0.0814,0.179,-0.0976
20211001,0.064,0.1754,-0.1115
20211004,0.0589,0.1843,-0.1255
20211005,0.0623,0.1792,-0.1169
20211006,0.0835,0.1757,-0.0921
20211007,0.0738,0.1754,-0.1016
20211008,0.0835,0.1745,-0.091
20211011,0.093,0.1697,-0.0767
20211012,0.0932,0.1663,-0.0731
20211013,0.0883,0.1642,-0.0759
20211014,0.0838,0.1668,-0.083
20211015,0.0788,0.1701,-0.0913
20211018,0.0945,0.166,-0.0715
20211019,0.0905,0.1647,-0.0742
20211020,0.0946,0.1655,-0.0709
20211021,0.0897,0.1649,-0.0751
20211022,0.0948,0.1595,-0.0648
20211025,0.099,0.1628,-0.0638
20211026,0.1041,0.1625,-0.0585
20211027,0.1002,0.1688,-0.0685
20211028,0.0901,0.1758,-0.0858
20211029,0.1,0.1765,-0.0765
20211101,0.0956,0.1774,-0.0818
20211102,0.0859,0.1937,-0.1078
20211104,0.0798,0.1928,-0.113
20211105,0.0656,0.1891,-0.1235
20211108,0.0613,0.1884,-0.1271
20211109,0.0681,0.1924,-0.1244
20211110,0.0621,0.1904,-0.1283
20211111,0.072,0.1856,-0.1136
20211112,0.0777,0.1675,-0.0898
20211115,0.0717,0.1592,-0.0876
20211116,0.0777,0.1495,-0.0718
20211117,0.0787,0.1467,-0.068
20211118,0.0894,0.147,-0.0576
20211119,0.0833,0.1452,-0.0618
20211122,0.0794,0.1501,-0.0708
20211124,0.0909,0.1471,-0.0562
20211125,0.0901,0.1385,-0.0483
20211126,0.0792,0.1415,-0.0623
20211129,0.0812,0.1435,-0.0623
20211130,0.0661,0.1635,-0.0974
20211201,0.0717,0.1591,-0.0875
20211202,0.0654,0.1741,-0.1087
20211203,0.0616,0.1783,-0.1167
20211206,0.0465,0.1775,-0.131
20211207,0.0616,0.1695,-0.1079
20211208,0.0564,0.1703,-0.1138
20211209,0.0575,0.178,-0.1206
20211210,0.0623,0.18,-0.1176
20211213,0.0569,0.1827,-0.1258
20211214,0.0586,0.1811,-0.1225
20211215,0.0575,0.1817,-0.1242
20211216,0.0527,0.1857,-0.133
20211217,0.0589,0.1932,-0.1342
20211220,0.0486,0.1961,-0.1474
20211221,0.065,0.1897,-0.1247
20211222,0.0704,0.1921,-0.1217
20211223,0.0757,0.1939,-0.1182
20211224,0.0771,0.1982,-0.1211
20211227,0.0763,0.1955,-0.1192
20211228,0.0763,0.1955,-0.1192
20211229,0.0717,0.1945,-0.1228
20211230,0.0882,0.2014,-0.1131
20220104,0.1026,0.1968,-0.0942
20220105,0.0968,0.1957,-0.0989
20220106,0.1168,0.1744,-0.0576
20220107,0.1318,0.1673,-0.0355
20220111,0.1521,0.149,0.0031
20220112,0.1274,0.1599,-0.0325
20220113,0.1279,0.1574,-0.0296
20220114,0.1492,0.1445,0.0046
20220117,0.1439,0.1482,-0.0043
20220118,0.1488,0.1495,-0.0007
20220119,0.1376,0.1611,-0.0235
20220120,0.144,0.1555,-0.0115
20220121,0.1338,0.1575,-0.0237
20220124,0.14,0.1693,-0.0293
20220125,0.14,0.1693,-0.0293
20220126,0.1402,0.1636,-0.0234
20220127,0.1594,0.1729,-0.0134
20220128,0.17,0.1789,-0.0089
20220131,0.1751,0.1822,-0.0071
20220201,0.1854,0.1699,0.0155
20220202,0.1803,0.1747,0.0056
20220203,0.1802,0.1735,0.0067
20220204,0.2006,0.163,0.0375
20220207,0.1995,0.1617,0.0378
20220208,0.2106,0.1551,0.0555
20220209,0.2097,0.154,0.0556
20220210,0.2306,0.1487,0.0819
20220214,0.2211,0.151,0.0701
20220215,0.217,0.1457,0.0713
20220216,0.2209,0.137,0.0839
20220217,0.2246,0.1454,0.0792
20220218,0.2202,0.1496,0.0706
20220221,0.2102,0.1507,0.0595
20220222,0.1941,0.1618,0.0323
20220224,0.1904,0.1621,0.0283
20220225,0.2115,0.1569,0.0546
20220228,0.1882,0.1702,0.0179
20220301,0.1834,0.1721,0.0113
20220302,0.1413,0.1921,-0.0508
20220303,0.1753,0.1766,-0.0013
20220304,0.1615,0.1625,-0.0009
20220307,0.1506,0.1705,-0.0199
20220308,0.162,0.1679,-0.0059
20220309,0.1714,0.1762,-0.0048
20220310,0.1952,0.1628,0.0324
20220311,0.1905,0.1633,0.0273
20220314,0.2024,0.1669,0.0355
20220315,0.2172,0.1601,0.0571
20220316,0.2113,0.1656,0.0458
20220317,0.2112,0.1663,0.0449
20220318,0.2164,0.169,0.0474
20220322,0.2277,0.1608,0.0669
20220323,0.2334,0.1609,0.0725
20220324,0.2426,0.1574,0.0852
20220325,0.2476,0.1573,0.0903
20220328,0.2631,0.1618,0.1013
